id,code,name,account_type,tag_ids,reconcile,name@vi_VN
chart3385,3385,,,"account.account_tag_operating,l10n_vn_viin.account_account_tag_338,l10n_vn_viin.account_account_tag_3385",,
chart3386,3386,,,"account.account_tag_operating,l10n_vn_viin.account_account_tag_338",,
chart3387,3387,,,"account.account_tag_operating,l10n_vn_viin.account_account_tag_338,l10n_vn_viin.account_account_tag_3387",,
chart3388,3388,,,"account.account_tag_operating,l10n_vn_viin.account_account_tag_338",,
chart341,341,Borrowings and finance lease liabilities,liability_current,l10n_vn_viin.account_account_tag_341,True,"Vay và nợ thuê tài chính"
chart3411,3411,,,"l10n_vn_viin.account_account_tag_341,l10n_vn_viin.account_account_tag_3411",True,
chart3412,3412,,,"l10n_vn_viin.account_account_tag_341,l10n_vn_viin.account_account_tag_3412",True,
chart343,343,Issued bonds,liability_current,l10n_vn_viin.account_account_tag_343,False,"Trái phiếu phát hành"
chart3431,3431,,,"l10n_vn_viin.account_account_tag_343,l10n_vn_viin.account_account_tag_3431",,
chart34311,34311,,,"l10n_vn_viin.account_account_tag_343,l10n_vn_viin.account_account_tag_3431,l10n_vn_viin.account_account_tag_34311",,
chart34312,34312,,,"l10n_vn_viin.account_account_tag_343,l10n_vn_viin.account_account_tag_3431",,
chart34313,34313,,,"l10n_vn_viin.account_account_tag_343,l10n_vn_viin.account_account_tag_3431,l10n_vn_viin.account_account_tag_34313",,
chart3432,3432,,,"l10n_vn_viin.account_account_tag_343,l10n_vn_viin.account_account_tag_3432",,
chart344,344,,,l10n_vn_viin.account_account_tag_344,,
chart347,347,,,l10n_vn_viin.account_account_tag_347,,
chart352,352,Provisions payable,liability_current,l10n_vn_viin.account_account_tag_352,False,"Dự phòng phải trả"
chart3521,3521,,,l10n_vn_viin.account_account_tag_352,,
chart3522,3522,,,l10n_vn_viin.account_account_tag_352,,
chart3523,3523,,,l10n_vn_viin.account_account_tag_352,,
chart3524,3524,,,l10n_vn_viin.account_account_tag_352,,
chart353,353,Bonus and welfare fund,liability_current,l10n_vn_viin.account_account_tag_353,False,"Quỹ khen thưởng phúc lợi"
chart3531,3531,,,l10n_vn_viin.account_account_tag_353,,
chart3532,3532,,,l10n_vn_viin.account_account_tag_353,,
chart3533,3533,,,l10n_vn_viin.account_account_tag_353,,
chart3534,3534,,,l10n_vn_viin.account_account_tag_353,,
chart356,356,Science and technology development fund,liability_current,l10n_vn_viin.account_account_tag_356,False,"Quỹ phát triển khoa học và công nghệ"
chart3561,3561,,,l10n_vn_viin.account_account_tag_356,,
chart3562,3562,,,l10n_vn_viin.account_account_tag_356,,
chart357,357,,,l10n_vn_viin.account_account_tag_357,,
chart411,411,Owner’s invested equity,equity,l10n_vn_viin.account_account_tag_411,False,"Vốn đầu tư của chủ sở hữu"
chart4111,4111,Contributed capital,equity,"l10n_vn_viin.account_account_tag_411,l10n_vn_viin.account_account_tag_4111",,"Vốn góp của chủ sở hữu"
chart41111,41111,,,"l10n_vn_viin.account_account_tag_411,l10n_vn_viin.account_account_tag_4111,l10n_vn_viin.account_account_tag_41111",,
chart41112,41112,,,"l10n_vn_viin.account_account_tag_411,l10n_vn_viin.account_account_tag_4111,l10n_vn_viin.account_account_tag_41112",,
chart4112,4112,,,"l10n_vn_viin.account_account_tag_411,l10n_vn_viin.account_account_tag_4112",,
